trade_id,direction,entry_time,exit_time,buy_price,sell_price,profit,pnl
1,LONG,50,60,104.356,106.867,2.51052,2.51052
2,LONG,130,140,110.678,108.82,-1.85829,0.652239
3,LONG,140,150,108.789,109.081,0.291774,0.944013
4,LONG,160,170,108.145,106.876,-1.26894,-0.324922
5,LONG,190,200,104.742,106.696,1.95445,1.62953
6,LONG,380,390,105.903,106.043,0.140145,1.76967
7,LONG,500,510,114.431,115.204,0.772901,2.54257
8,LONG,810,820,106.261,105.721,-0.539642,2.00293
9,LONG,860,870,111.235,110.787,-0.448234,1.5547
10,LONG,930,940,107.82,105.455,-2.3644,-0.809707
11,LONG,1260,1270,111.825,116.803,4.97805,4.16834
12,LONG,1280,1290,116.008,114.734,-1.27354,2.89481
13,LONG,1400,1410,108.171,108.241,0.0703072,2.96511
14,LONG,1550,1560,109.569,108.414,-1.15463,1.81049
15,LONG,1860,1870,115.085,111.314,-3.77041,-1.95992
16,LONG,1890,1900,109.705,113.142,3.43715,1.47723
17,LONG,1990,2000,112.985,113.831,0.846129,2.32336
18,LONG,2210,2220,111.595,108.654,-2.94096,-0.617599
19,LONG,2550,2560,100.842,103.914,3.07221,2.45461
20,LONG,2620,2630,101.022,99.9546,-1.06773,1.38688
21,LONG,2630,2640,99.9205,98.1931,-1.7274,-0.340525
22,LONG,2740,2750,101.899,100.791,-1.10805,-1.44857
23,LONG,3100,3110,90.9416,89.4434,-1.49817,-2.94675
24,LONG,3450,3460,86.3383,84.8593,-1.47898,-4.42573
25,LONG,3510,3520,83.2779,81.468,-1.80987,-6.2356
26,LONG,3560,3570,79.6723,80.6582,0.98586,-5.24974
27,LONG,3900,3910,79.2343,77.1322,-2.10216,-7.3519
28,LONG,4110,4120,91.2206,91.3319,0.11127,-7.24063
29,LONG,4280,4290,88.0493,90.533,2.48371,-4.75692
30,LONG,4740,4750,115.881,114.617,-1.2644,-6.02132
31,LONG,4870,4880,106.818,107.151,0.332896,-5.68842
32,LONG,4930,4940,115.097,114.889,-0.207718,-5.89614
33,LONG,5160,5170,120.099,125.074,4.97475,-0.921394
34,LONG,5300,5310,132.396,134.372,1.97575,1.05436
35,LONG,5330,5340,129.588,123.103,-6.48483,-5.43048
36,LONG,5540,5550,116.059,120.955,4.89567,-0.534803
37,LONG,5760,5770,128.33,130.877,2.5466,2.01179
38,LONG,5990,6000,133.728,135.872,2.14411,4.1559
39,LONG,6090,6100,131.938,131.771,-0.167117,3.98879
40,LONG,6220,6230,140.831,146.883,6.05163,10.0404
41,LONG,6320,6330,144.889,149.082,4.19316,14.2336
42,LONG,6360,6370,139.176,140.657,1.48039,15.714
